fielder_name,player_id,team_name,primary_position,primary_position_name,total_throws,total_throws_1b,total_throws_2b,total_throws_3b,total_throws_ss,total_throws_lf,total_throws_cf,total_throws_rf,total_throws_inf,total_throws_of,max_arm_strength,arm_1b,arm_2b,arm_3b,arm_ss,arm_lf,arm_cf,arm_rf,arm_inf,arm_of,arm_overall
"Goodman, Hunter",696100,,2,,92,16,0,0,0,10,0,66,0,76,91.6,,,,,,,88.6,,88.7,88.7
"Canha, Mark",592192,,3,First Baseman,232,154,0,0,0,54,0,24,0,78,87.9,74.8,,,,83.5,,,,85.5,85.5
"Joe, Connor",656582,,3,First Baseman,374,247,0,0,0,18,0,109,0,127,93.3,75.6,,,,,,89.7,,89.8,89.8
"Sheets, Gavin",657757,,3,First Baseman,297,175,0,0,0,0,0,122,0,122,91.8,80.1,,,,,,88.6,,88.6,88.6
"Nevin, Tyler",663527,,3,First Baseman,203,90,0,38,0,30,0,45,38,75,93.7,,,,,,,,,87.3,87.3
"Merrifield, Whit",593160,,4,Second Baseman,305,0,221,29,0,55,0,0,250,55,91.6,,80.2,,,83.5,,,80.4,83.5,83.5
"Frazier, Adam",624428,,4,Second Baseman,222,0,147,8,0,11,0,56,155,67,93.7,,76.4,,,,,86.6,77.6,86.7,86.7
"McNeil, Jeff",643446,,4,Second Baseman,503,0,437,0,0,27,0,39,437,66,90.6,,78.7,,,,,,78.7,86.8,86.8
"Palacios, Richie",680700,,4,Second Baseman,258,0,139,8,0,41,0,70,147,111,91.3,,75.3,,,,,87.7,75.0,86.3,86.3
"Vierling, Matt",663837,,5,Third Baseman,344,2,0,106,0,19,140,77,106,236,96.2,,,82.7,,,84.8,85.5,82.7,85.0,85.0
"Vargas, Miguel",678246,,5,Third Baseman,163,0,0,94,0,69,0,0,94,69,93.8,,,87.1,,90.4,,,87.1,90.4,90.4
"Barger, Addison",680718,,5,Third Baseman,171,0,0,66,0,24,0,81,66,105,100.6,,,,,,,96.6,,96.3,96.3
"Betts, Mookie",605141,,6,Shortstop,415,0,54,0,277,0,0,84,331,84,94.0,,,,78.3,,,85.5,78.0,85.5,85.5
"Castro, Willi",650489,,6,Shortstop,590,0,154,34,235,86,81,0,423,167,95.7,,84.6,,86.7,88.0,90.5,,86.4,89.7,89.7
"Cruz, Oneil",665833,,6,Shortstop,421,0,0,0,348,0,73,0,348,73,103.3,,,,95.6,,99.1,,95.6,99.1,99.1
"Edman, Tommy",669242,,6,Shortstop,137,0,1,0,67,0,69,0,68,69,88.8,,,,,,82.4,,,82.4,82.4
"Schneemann, Daniel",682177,,6,Shortstop,201,0,21,25,86,11,31,27,132,69,95.3,,,,84.1,,,,83.9,92.4,92.4
"Rosario, Eddie",592696,,7,Left Fielder,188,0,0,0,0,93,29,66,0,188,91.8,,,,,83.3,,87.5,,85.3,85.3
"Yelich, Christian",592885,,7,Left Fielder,109,0,0,0,0,109,0,0,0,109,86.5,,,,,83.5,,,,83.5,83.5
"Profar, Jurickson",595777,,7,Left Fielder,237,9,0,0,0,228,0,0,0,228,93.9,,,,,87.2,,,,87.2,87.2
"Hernández, Teoscar",606192,,7,Left Fielder,355,0,0,0,0,235,0,120,0,355,93.1,,,,,86.6,,88.9,,87.5,87.5
"Nimmo, Brandon",607043,,7,Left Fielder,360,0,0,0,0,307,53,0,0,360,90.9,,,,,86.8,86.1,,,86.8,86.8
"Winker, Jesse",608385,,7,Left Fielder,208,0,0,0,0,186,0,22,0,208,93.1,,,,,87.2,,,,86.8,86.8
"Refsnyder, Rob",608701,,7,Left Fielder,169,0,0,0,0,107,0,62,0,169,96.8,,,,,87.9,,92.2,,89.9,89.9
"Andujar, Miguel",609280,,7,Left Fielder,214,0,0,0,0,214,0,0,0,214,98.7,,,,,93.2,,,,93.2,93.2
"Taylor, Chris",621035,,7,Left Fielder,193,0,60,30,0,96,7,0,90,103,93.0,,,,,88.7,,,81.2,88.4,88.4
"Ward, Taylor",621493,,7,Left Fielder,478,0,0,0,0,478,0,0,0,478,93.1,,,,,87.6,,,,87.6,87.6
"Conforto, Michael",624424,,7,Left Fielder,254,0,0,0,0,254,0,0,0,254,94.3,,,,,89.5,,,,89.5,89.5
"Gordon, Nick",624503,,7,Left Fielder,193,0,9,0,0,158,26,0,9,184,90.8,,,,,85.9,,,,85.4,85.4
"O'Neill, Tyler",641933,,7,Left Fielder,261,0,0,0,0,164,0,97,0,261,94.7,,,,,88.1,,91.3,,89.4,89.4
"Benintendi, Andrew",643217,,7,Left Fielder,354,0,0,0,0,354,0,0,0,354,96.9,,,,,84.5,,,,84.5,84.5
"Dubón, Mauricio",643289,,7,Left Fielder,358,45,59,25,20,120,66,23,104,209,99.3,,,,,88.1,89.3,,87.7,88.9,88.9
"De La Cruz, Bryan",650559,,7,Left Fielder,314,0,0,0,0,165,0,149,0,314,93.3,,,,,89.9,,90.6,,90.3,90.3
"Hilliard, Sam",656541,,7,Left Fielder,134,0,0,0,0,55,51,28,0,134,96.1,,,,,88.9,91.3,,,91.0,91.0
"Smith, Pavin",656976,,7,Left Fielder,109,38,0,0,0,32,0,39,0,71,89.7,,,,,,,,,86.7,86.7
"Verdugo, Alex",657077,,7,Left Fielder,390,0,0,0,0,364,8,18,0,390,98.2,,,,,91.7,,,,92.1,92.1
