bases,outs,sp1,sp2,runner_eq,payoff
"[1, 2]",1,0.0,0.0,[],0.0
"[1, 2]",1,0.0,0.03,[],0.0
"[1, 2]",1,0.0,0.06,[],0.0
"[1, 2]",1,0.0,0.09,[],0.0
"[1, 2]",1,0.0,0.12,[],0.0
"[1, 2]",1,0.0,0.15,[],0.0
"[1, 2]",1,0.0,0.18,[],0.0
"[1, 2]",1,0.0,0.21,[],0.0
"[1, 2]",1,0.0,0.24,[],0.0
"[1, 2]",1,0.0,0.26,[],0.0
"[1, 2]",1,0.0,0.29,[2],0.009460799999999908
"[1, 2]",1,0.0,0.32,[2],0.037286399999999956
"[1, 2]",1,0.0,0.35,[2],0.06511199999999986
"[1, 2]",1,0.0,0.38,[2],0.0929375999999999
"[1, 2]",1,0.0,0.41,[2],0.12076319999999986
"[1, 2]",1,0.0,0.44,[2],0.14858879999999994
"[1, 2]",1,0.0,0.47,[2],0.17641439999999992
"[1, 2]",1,0.0,0.5,[2],0.20423999999999992
"[1, 2]",1,0.0,0.53,[2],0.2320655999999999
"[1, 2]",1,0.0,0.56,[2],0.2598912
"[1, 2]",1,0.0,0.59,[2],0.28771679999999994
"[1, 2]",1,0.0,0.62,[2],0.3155424
"[1, 2]",1,0.0,0.65,[2],0.34336800000000006
"[1, 2]",1,0.0,0.68,[2],0.37119359999999996
"[1, 2]",1,0.0,0.71,[2],0.39901919999999996
"[1, 2]",1,0.0,0.74,[2],0.4268448000000001
"[1, 2]",1,0.0,0.76,[2],0.4453952
"[1, 2]",1,0.0,0.79,[2],0.4732207999999999
"[1, 2]",1,0.0,0.82,[2],0.5010463999999999
"[1, 2]",1,0.0,0.85,[2],0.5288719999999999
"[1, 2]",1,0.0,0.88,[2],0.5566975999999999
"[1, 2]",1,0.0,0.91,[2],0.5845232
"[1, 2]",1,0.0,0.94,[2],0.6123487999999999
"[1, 2]",1,0.0,0.97,[2],0.6401743999999999
"[1, 2]",1,0.0,1.0,[2],0.6679999999999999
"[1, 2]",1,0.03,0.0,[],0.0
"[1, 2]",1,0.03,0.03,[],0.0
"[1, 2]",1,0.03,0.06,[],0.0
"[1, 2]",1,0.03,0.09,[],0.0
"[1, 2]",1,0.03,0.12,[],0.0
"[1, 2]",1,0.03,0.15,[],0.0
"[1, 2]",1,0.03,0.18,[],0.0
"[1, 2]",1,0.03,0.21,[],0.0
"[1, 2]",1,0.03,0.24,[],0.0
"[1, 2]",1,0.03,0.26,[],0.0
"[1, 2]",1,0.03,0.29,[2],0.009460799999999908
"[1, 2]",1,0.03,0.32,[2],0.037286399999999956
"[1, 2]",1,0.03,0.35,[2],0.06511199999999986
"[1, 2]",1,0.03,0.38,[2],0.0929375999999999
"[1, 2]",1,0.03,0.41,[2],0.12076319999999986
"[1, 2]",1,0.03,0.44,[2],0.14858879999999994
"[1, 2]",1,0.03,0.47,[2],0.17641439999999992
"[1, 2]",1,0.03,0.5,[2],0.20423999999999992
"[1, 2]",1,0.03,0.53,[2],0.2320655999999999
"[1, 2]",1,0.03,0.56,[2],0.2598912
"[1, 2]",1,0.03,0.59,[2],0.28771679999999994
"[1, 2]",1,0.03,0.62,[2],0.3155424
"[1, 2]",1,0.03,0.65,[2],0.34336800000000006
"[1, 2]",1,0.03,0.68,[2],0.37119359999999996
"[1, 2]",1,0.03,0.71,[2],0.39901919999999996
"[1, 2]",1,0.03,0.74,[2],0.4268448000000001
"[1, 2]",1,0.03,0.76,[2],0.4453952
"[1, 2]",1,0.03,0.79,[2],0.4732207999999999
"[1, 2]",1,0.03,0.82,[2],0.5010463999999999
"[1, 2]",1,0.03,0.85,[2],0.5288719999999999
"[1, 2]",1,0.03,0.88,[2],0.5566975999999999
"[1, 2]",1,0.03,0.91,[2],0.5845232
"[1, 2]",1,0.03,0.94,[2],0.6123487999999999
"[1, 2]",1,0.03,0.97,[2],0.6401743999999999
"[1, 2]",1,0.03,1.0,[2],0.6679999999999999
"[1, 2]",1,0.06,0.0,[],0.0
"[1, 2]",1,0.06,0.03,[],0.0
"[1, 2]",1,0.06,0.06,[],0.0
"[1, 2]",1,0.06,0.09,[],0.0
"[1, 2]",1,0.06,0.12,[],0.0
"[1, 2]",1,0.06,0.15,[],0.0
"[1, 2]",1,0.06,0.18,[],0.0
"[1, 2]",1,0.06,0.21,[],0.0
"[1, 2]",1,0.06,0.24,[],0.0
"[1, 2]",1,0.06,0.26,[],0.0
"[1, 2]",1,0.06,0.29,[2],0.009460799999999908
"[1, 2]",1,0.06,0.32,[2],0.037286399999999956
"[1, 2]",1,0.06,0.35,[2],0.06511199999999986
"[1, 2]",1,0.06,0.38,[2],0.0929375999999999
"[1, 2]",1,0.06,0.41,[2],0.12076319999999986
"[1, 2]",1,0.06,0.44,[2],0.14858879999999994
"[1, 2]",1,0.06,0.47,[2],0.17641439999999992
"[1, 2]",1,0.06,0.5,[2],0.20423999999999992
"[1, 2]",1,0.06,0.53,[2],0.2320655999999999
"[1, 2]",1,0.06,0.56,[2],0.2598912
"[1, 2]",1,0.06,0.59,[2],0.28771679999999994
"[1, 2]",1,0.06,0.62,[2],0.3155424
"[1, 2]",1,0.06,0.65,[2],0.34336800000000006
"[1, 2]",1,0.06,0.68,[2],0.37119359999999996
