game_id,visit,inning,bat_team,outs,batter_id,runner_1b,runner_2b,runner_3b,event,col_7,col_8,team_iter,year,base_state,tagup_success,tagup_runs,re0,next_inning,next_bat_team,next_outs,next_base_state,re1,delta_run_exp,teamname,chosen_runner_strategy,adv_result
BAL202204110,MIL,5,1,0,manct001,santa003,mounr001,,9/L9D.2-3,,,BAL,2022,110,False,0,0.923,5.0,1.0,1.0,101,1.591,0.6679999999999999,BAL,[2],[1]
BAL202204110,MIL,7,0,1,mccua001,carav001,wongk001,,8/F8XD+.2-3,,,BAL,2022,110,False,0,0.443,7.0,0.0,2.0,101,0.498,0.05499999999999999,MIL,[2],[1]
BAL202204150,NYA,1,0,0,donaj001,stanm004,rizza001,,8/F8D,,,BAL,2022,110,False,0,0.923,1.0,0.0,1.0,110,0.923,0.0,NYA,[],[]
BAL202204170,NYA,8,1,1,mullc002,manct001,mounr001,,7/F7S,,,BAL,2022,110,False,0,0.443,8.0,1.0,2.0,110,0.443,0.0,BAL,[],[]
BAL202204300,BOS,7,1,0,odorr001,haysa001,mounr001,,8/F8D,,,BAL,2022,110,False,0,0.923,7.0,1.0,1.0,110,0.923,0.0,BAL,[],[]
BAL202204300,BOS,7,1,1,uriar001,haysa001,mounr001,,9/L9+,,,BAL,2022,110,False,0,0.443,7.0,1.0,2.0,110,0.443,0.0,BAL,[],[]
BAL202205010,BOS,4,1,0,mounr001,santa003,,mullc002,9/F9,,,BAL,2022,101,False,0,1.591,4.0,1.0,1.0,101,1.591,0.0,BAL,[],[]
BAL202205010,BOS,7,1,1,matej003,bemba001,nevit001,,7/F7D,,,BAL,2022,110,False,0,0.443,7.0,1.0,2.0,110,0.443,0.0,BAL,[],[]
BAL202205030,MIN,4,1,0,bemba001,nevit001,odorr001,,8/F8XD+/DP.2-3;1X2(864),,,BAL,2022,110,False,0,0.923,4.0,1.0,2.0,001,0.369,-0.554,BAL,"[2, 1]","[1, 0]"
BAL202205030,MIN,5,0,1,corrc001,celeg001,jeffr002,,7/L7D,,,BAL,2022,110,False,0,0.443,5.0,0.0,2.0,110,0.443,0.0,MIN,[],[]
BAL202205030,MIN,9,0,0,polaj001,,corrc001,buxtb001,8/SF/L8D.3-H,,,BAL,2022,011,True,1,1.409,9.0,0.0,1.0,010,1.689,0.28,MIN,[3],[1]
BAL202205040,MIN,4,0,0,miraj002,larnt001,polaj001,,9/F9L.2-3,,,BAL,2022,110,False,0,0.923,4.0,0.0,1.0,101,1.591,0.6679999999999999,MIN,[2],[1]
BAL202205040,MIN,4,1,1,haysa001,santa003,,manct001,9/SF/F89XD.3-H,,,BAL,2022,101,True,1,0.498,4.0,1.0,2.0,100,1.227,0.7290000000000001,BAL,[3],[1]
BAL202205081,KCA,5,0,1,benia002,lopen001,,isbek001,7/SF/F7D.3-H(UR),,,BAL,2022,101,True,1,0.498,5.0,0.0,2.0,100,1.227,0.7290000000000001,KCA,[3],[1]
BAL202205081,KCA,8,0,1,ohear001,peres002,,benia002,7/SF/L7.3-H,,,BAL,2022,101,True,1,0.498,8.0,0.0,2.0,100,1.227,0.7290000000000001,KCA,[3],[1]
BAL202205082,KCA,1,1,0,uriar001,mounr001,,haysa001,9/SF/F9LSF/FL.3-H(UR),,,BAL,2022,101,True,1,1.591,1.0,1.0,1.0,100,1.526,-0.06499999999999995,BAL,[3],[1]
BAL202205170,NYA,4,1,0,nevit001,uriar001,,odorr001,8/SF/F89.3-H,,,BAL,2022,101,True,1,1.591,4.0,1.0,1.0,100,1.526,-0.06499999999999995,BAL,[3],[1]
BAL202205190,NYA,6,1,1,mullc002,nevit001,,matej003,8/SF/F78XD.3-H(UR);1-2,,mcker001,BAL,2022,101,True,1,0.498,6.0,1.0,2.0,010,1.327,0.829,BAL,"[3, 1]","[1, 1]"
BAL202205200,TBA,7,1,0,mullc002,owinc001,chirr001,,8/F8D,,,BAL,2022,110,False,0,0.923,7.0,1.0,1.0,110,0.923,0.0,BAL,[],[]
BAL202205200,TBA,11,0,1,wallt003,kierk001,arozr001,,7/F7D.2-3;1-2,,,BAL,2022,110,False,0,0.443,11.0,0.0,2.0,011,0.59,0.14699999999999996,TBA,"[2, 1]","[1, 1]"
BAL202205210,TBA,6,0,0,choij001,diazy001,,kierk001,8/SF/F8XD+.3-H;1-2,,,BAL,2022,101,True,1,1.591,6.0,0.0,1.0,010,1.689,0.09800000000000009,TBA,"[3, 1]","[1, 1]"
BAL202205220,TBA,1,0,0,ramih004,choij001,arozr001,,7/F7D.2-3;1-2,,,BAL,2022,110,False,0,0.923,1.0,0.0,1.0,011,1.409,0.486,TBA,"[2, 1]","[1, 1]"
BAL202205220,TBA,3,1,1,rutsa001,mounr001,santa003,,7/F7LS,,,BAL,2022,110,False,0,0.443,3.0,1.0,2.0,110,0.443,0.0,BAL,[],[]
BAL202205220,TBA,10,1,1,mcker001,manct001,matej003,,7/F7D+.2-3,,,BAL,2022,110,False,0,0.443,10.0,1.0,2.0,101,0.498,0.05499999999999999,BAL,[2],[1]
BAL202205310,SEA,2,0,1,ralec001,,tramt001,moord002,8/SF/F8.3-H,,,BAL,2022,011,True,1,0.59,2.0,0.0,2.0,010,1.327,0.737,SEA,[3],[1]
BAL202206020,SEA,3,1,1,mounr001,haysa001,santa003,,8/F89,,,BAL,2022,110,False,0,0.443,3.0,1.0,2.0,110,0.443,0.0,BAL,[],[]
