,teamname,outs,base_state_retro,chosen_runner_strategy,model_optimal_strategy,chosen_strategy_payoff,model_optimal_payoff,payoff_diff,sp1,sp2,speed_1b,speed_2b,speed_3b,arm_strength
0,BAL,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.2236004419296891,0.9963230132528926,26.7,28.2,,95.4
1,MIL,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.530151681770326,0.9933828376969212,25.0,26.7,,90.0
2,NYA,0,110,[],[2],0.0,0.4732207999999999,-0.4732207999999999,0.011488937096494798,0.7762346410053447,24.4,24.7,,90.0
10,MIN,0,110,[2],[2],0.6679999999999999,0.4732207999999999,0.19477920000000004,0.007165513723347413,0.7824260326633596,26.7,27.6,,99.7
11,BAL,1,101,[3],"[1, 3]",0.7290000000000001,0.7711863999999999,-0.042186399999999846,0.7316987622720487,0.9997787637214144,26.7,,25.4,88.5
12,KCA,1,101,[3],[3],0.7290000000000001,0.6789384,0.05006160000000004,0.014184014046657962,0.9353924367736353,27.7,,27.6,97.1
13,KCA,1,101,[3],[3],0.7290000000000001,0.5788152,0.15018480000000012,0.0006370198770190917,0.8273487056902313,24.3,,27.3,97.1
14,BAL,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.009024683242046881,0.13454141095109917,28.2,,27.4,91.6
18,TBA,1,110,"[2, 1]",[2],0.1469999999999999,0.0042039999999999,0.142796,0.4735594852792052,0.8556295817582832,28.8,28.4,,97.1
19,TBA,0,101,"[3, 1]",[],0.098,0.0,0.098,0.5638289761295089,0.9999547296846013,26.6,,28.8,90.0
21,BAL,1,110,[2],"[1, 2]",0.0549999999999999,0.0747839999999999,-0.019784000000000003,0.8189493708421886,0.9894927510909928,25.4,30.1,,92.6
23,BAL,1,110,[],[],0.0,0.0,0.0,0.0002631347552935075,0.06790412329350995,27.4,26.7,,97.9
24,SEA,0,101,"[3, 1]",[],0.098,0.0,0.098,0.0032167170307545313,0.36694947022465524,26.4,,26.7,97.1
27,BAL,1,110,[],[],0.0,0.0,0.0,2.2173188200409107e-05,0.0012500149370325364,26.7,27.0,,98.8
29,BAL,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.20211274791807216,0.9978002543154562,26.7,,28.0,93.1
30,NYA,1,110,[],[],0.0,0.0,0.0,2.8847970910395894e-05,0.00023102310512625263,26.7,25.7,,97.1
32,BAL,1,11,[3],[3],0.737,0.737,0.0,0.11009933279916345,0.9905028077778691,,26.7,28.2,92.6
33,BAL,1,11,[3],"[2, 3]",0.737,0.7714724000000001,-0.03447240000000007,0.9765628479167964,0.9977314524961696,,28.0,30.1,97.2
34,BAL,0,110,[2],[2],0.6679999999999999,0.5288719999999999,0.13912800000000003,0.024710567565626163,0.8472395093791816,28.2,26.7,,97.2
36,BAL,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.049211440359964484,0.9813722770645134,25.4,27.0,,97.2
37,BAL,0,110,[],[],0.0,0.0,0.0,0.003158569111785678,0.16989847066987415,27.0,28.0,,100.4
40,TOR,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.07305463676387633,0.9967643396784603,28.7,,28.5,90.0
41,BAL,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9982650115846478,0.9999559143765999,,28.2,26.7,91.6
42,BAL,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.5413336,0.01766639999999997,0.97036471677197,0.9931630660957393,,28.2,27.0,95.4
43,BOS,1,11,[],[3],0.0,0.0692535999999999,-0.0692535999999999,0.025999393033578004,0.2621720099882566,,27.1,27.7,97.2
44,BOS,0,110,"[2, 1]",[2],0.486,0.6679999999999999,-0.18199999999999994,0.824224262345589,0.9889762594728627,27.6,27.3,,90.0
46,BOS,1,101,[],[3],0.0,0.5788152,-0.5788152,0.001116694015284388,0.8065825804579816,27.3,,27.7,97.1
47,BAL,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.40679496981730767,0.9981088801582397,27.0,28.0,,91.8
48,CHA,1,110,[],[],0.0,0.0,0.0,0.02947523210030559,0.16078112792438892,26.5,28.7,,97.1
50,CHA,1,110,[],[],0.0,0.0,0.0,0.004718411515252681,0.649917844896232,26.4,26.5,,90.0
56,TOR,0,101,[],[],0.0,0.0,0.0,0.00020703062317501477,0.15600925622667441,27.1,,28.3,99.7
59,DET,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.5589999999999999,0.0,0.9983779956238339,0.9999642326428598,,27.4,28.1,90.0
60,BAL,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.18847914273209543,0.9875627612073747,28.8,,27.0,90.2
61,BAL,0,110,[],[],0.0,0.0,0.0,0.09755257350226118,0.022140484438355635,28.2,27.4,,90.2
62,HOU,1,101,"[3, 1]",[3],0.829,0.0197939999999999,0.8092060000000001,0.0007413317644420983,0.14294993088461666,26.3,,29.4,99.7
65,HOU,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.01408752325212507,0.40315939845087573,28.2,,25.0,97.2
67,BOS,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.0924194195392063,0.959819667708574,27.6,26.0,,93.0
68,BOS,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.5589999999999999,0.0,0.9988284929914395,0.9998910986308396,,27.6,26.0,93.0
70,MIN,0,110,[],[],0.0,0.0,0.0,0.0030691300189523638,0.0065918804754361675,26.2,26.6,,98.2
71,BOS,0,101,[1],[],-0.1819999999999999,0.0,-0.1819999999999999,0.0034504343747821134,0.6200239744614656,27.7,,27.3,88.5
72,MIN,1,110,[2],[],0.0549999999999999,0.0,0.0549999999999999,0.0040841038607995865,0.1497420866315653,24.9,27.4,,98.2
74,TOR,1,110,[],[],0.0,0.0,0.0,0.009552038994495618,0.03447107009342745,26.4,27.1,,98.2
76,TOR,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.029693331948067198,0.9964667854622984,27.1,,28.7,98.2
82,HOU,1,101,[],[],0.0,0.0,0.0,2.0542036809187833e-05,0.052108497533638394,26.3,,26.3,98.2
85,BOS,0,110,[],[],0.0,0.0,0.0,0.0019771854822099788,0.00670164701006781,26.9,25.0,,93.1
91,BOS,1,110,[],[],0.0,0.0,0.0,0.00200188719458942,0.32453599103031944,27.3,27.6,,94.3
92,OAK,0,110,[],[],0.0,0.0,0.0,0.00018772332565874904,0.004434662992321142,27.4,27.9,,98.2
95,BOS,1,101,[],[3],0.0,0.6288768,-0.6288768,0.0017104847969621163,0.8736167650358003,26.1,,29.5,94.3
96,BOS,1,110,[],[],0.0,0.0,0.0,0.054411007484103574,0.3408573040325623,27.6,26.0,,97.1
97,BOS,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.0303893374976632,0.9563230956609321,25.0,27.1,,97.1
98,SLN,1,110,[],[],0.0,0.0,0.0,0.0457746226843533,0.6308776732448031,28.8,27.6,,93.6
99,SLN,1,110,[],[2],0.0,0.0346815999999999,-0.0346815999999999,0.10175989677890296,0.9407380505204399,24.9,26.4,,93.6
100,SLN,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.21373683980231956,0.9892676889355585,24.9,26.4,,93.6
101,SLN,1,101,[],[],0.0,0.0,0.0,8.453111316696873e-06,0.1088189579840233,26.5,,29.2,98.2
102,DET,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.15885093054318672,0.9990158291037475,27.5,,28.1,93.6
104,BOS,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.04012687457788317,0.999067267375158,26.0,,29.5,92.1
105,BOS,1,110,[],[],0.0,0.0,0.0,0.00030576994827374306,0.025593617279462414,28.8,25.0,,91.2
106,TBA,1,11,[3],[3],0.737,0.737,0.0,0.36118417813354037,0.9921619132589693,,28.4,28.8,96.8
107,BOS,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.01057917031053295,0.993408689819155,26.1,,29.5,92.6
109,TOR,0,101,[],[],0.0,0.0,0.0,0.002695640528210443,0.9477125446354013,27.8,,28.3,93.6
